otu,Domain,Phylum,Class,Order,Family,Genus,Species
MW633475.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_herbarum
AF347031.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_alternata
MZ159329.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Phlebiella,s__Phlebiella_vaga
MH855943.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__Epicoccum_nigrum
JX089579.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__Bipolaris_microstegii
JN906978.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_aphidis
KU850565.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_vesicarium
MW709918.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleraceae,g__Bullera,s__Bullera_alba
MF924721.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Skeletocutis,s__Skeletocutis_mopanshanensis
MG828953.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudopithomyces,s__Pseudopithomyces_rosae
MT310617.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_verrucosa
JN383490.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_eureka
KY244090.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Gelatoporiaceae,g__Obba,s__Obba_thailandica
MG231543.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Gloeoporus,s__Gloeoporus_dichrous
KU850546.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_eturmiunum
MH857371.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Pyrenophora,s__Pyrenophora_trichostoma
MF795575.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fomitopsis,s__Fomitopsis_pinicola
AY854082.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Climacodon,s__Climacodon_septentrionalis
MK442607.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Thyridariaceae,g__Pararoussoella,s__Pararoussoella_juglandicola
AY211019.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_manshurica
JN164993.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Coriolopsis,s__Coriolopsis_trogii
DQ491421.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fomitopsis,s__Fomitopsis_meliae
HQ153409.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Phlebia,s__Phlebia_aurea
HM131313.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_coronata
HQ643127.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Saprolegniales,f__Saprolegniaceae,g__Brevilegnia,s__Brevilegnia_gracilis
GU237761.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Neodidymelliopsis,s__Neodidymelliopsis_cannabis
MT040878.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Exidiaceae,g__Basidiodendron,s__Basidiodendron_alni
MT279905.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meripilaceae,g__Physisporinus,s__Physisporinus_pouzarii
KC992898.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_orbicularis
MW063162.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_celtidis
MW649126.1,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Synchytriales,f__Synchytriaceae,g__Synchytrium,s__Synchytrium_psophocarpi
MZ668718.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Trametes,s__Trametes_gibbosa
KR183856.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_destructans
AY239209.1,k__Eukaryota,p__Ascomycota,c__Opisthokonta,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__Taphrina_inositophila
MH863084.1,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__Rhizophydium_globosum
DQ323697.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_infectoria
HM131235.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_coronati-brevispora
MW724098.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_tephrensis
KT203298.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meripilaceae,g__Rigidoporus,s__Rigidoporus_macroporus
MT446068.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__Coprinopsis_urticicola
MN200199.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,s__Aureobasidium_pullulans
MZ637003.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Mycoacia,s__Mycoacia_fuscoatra
MZ171395.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Tyromyces,s__Tyromyces_galactinus
KJ707062.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_magnum
MH860044.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_cinerea
KR673447.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_applanatus
ON024336.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_lucidum
KC584209.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_panax
JN048778.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_truncatospora
KF018120.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_africana
AB871751.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Aporpiaceae,g__Elmerina,s__Elmerina_caryae
JQ766443.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,s__Cyphellophora_europaea
MK560161.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__Septoriella_pseudophragmitis
AF222850.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Mycosphaerella,s__Mycosphaerella_asteroma
MK346145.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Rickenellaceae,g__Sidera,s__Sidera_parallela
KX900909.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Amaropostia,s__Amaropostia_hainanensis
KJ707106.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__Rhodotorula_babjevae
AB091675.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Irpex,s__Irpex_laceratus
MH866022.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
MG982541.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Rickenellaceae,g__Rickenella,s__Rickenella_fibula
EU153512.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Trametes,s__Trametes_versicolor
KF251179.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Parastagonospora,s__Parastagonospora_poae
MT158729.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_magallanesii
AB972781.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cantharellales,f__unidentified,g__Burgoa,s__Burgoa_verzuoliana
KC585397.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Osteina,s__Osteina_undosa
AB425974.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_oratosquillae
MH018134.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_guiyangensis
EU118659.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Phlebiella,s__Phlebiella_christiansenii
MK912119.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Neptunomyces,s__Neptunomyces_aureus
GU258263.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Russulaceae,g__Lactifluus,s__Lactifluus_subgerardii
HQ162266.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_nyssicola
FJ496662.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Ceriporiopsis,s__Ceriporiopsis_subrufa
MF325983.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_nitens
JN411808.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__unidentified,g__Tetracladium,s__Tetracladium_apiense
MG736181.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_poae
JX310445.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Trechisporales,f__unidentified,g__Sistotremastrum,s__Sistotremastrum_guttuliferum
MN963762.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Hyphodermataceae,g__Hyphoderma,s__Hyphoderma_australosetigerum
MT319634.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_lagenicystidiatus
MZ919179.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Hyphodontia,s__Hyphodontia_zhixiangii
MG828921.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__Neoascochyta_rosicola
OL436938.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Trichaptaceae,g__Trichaptum,s__Trichaptum_abietinum
MZ531891.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_cladosporioides
OL314550.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,s__Trechispora_patawaensis
EF652066.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_ruber
MK539966.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__Septoriella_hibernica
FN907914.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Rickenellaceae,g__Sidera,s__Sidera_lenis
MK894024.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Steccherinum,s__Steccherinum_nitidum
JQ936290.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_solani
FJ427048.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__Neoascochyta_paspali
FJ266483.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_cucurbitae
AY015439.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,s__Sporobolomyces_ruberrimus
MT153879.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Tubulicrinaceae,g__Tubulicrinis,s__Tubulicrinis_yunnanensis
OM418708.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Hyphodontia,s__Hyphodontia_alienata
KU509531.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Ceriporiopsis,s__Ceriporiopsis_balaenae
KF036585.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleraceae,g__Genolevuria,s__Genolevuria_amylolytica
MK850371.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mucorales,f__Rhizopodaceae,g__Rhizopus,s__Rhizopus_arrhizus
KJ705160.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_bicolor
AM747536.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Coniophoraceae,g__Coniophora,s__Coniophora_olivacea
MH856176.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_squamosa
MH858205.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Peniophoraceae,g__Peniophora,s__Peniophora_tamaricicola
MT223805.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Kalmusia,s__Kalmusia_araucariae
LT964730.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Glomerales,f__Glomeraceae,g__Glomus,s__Glomus_tetrastratosum
MW750237.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_dianzhongense
EF652489.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_crustosus
MT973498.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_iqbalii
MT319439.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Lyomyces,s__Lyomyces_sambuci
DQ826546.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__unidentified,g__Resinicium,s__Resinicium_rimulosum
MK239259.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Lycoperdaceae,g__Lycoperdon,s__Lycoperdon_ericaeum
AY552328.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,s__Sporobolomyces_patagonicus
AB025686.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Entylomatales,f__unidentified,g__Tilletiopsis,s__Tilletiopsis_washingtonensis
KF917545.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_rhizomorphus
HE861822.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_inaequalis
HQ630308.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_rishikesha
HG779026.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_verruciformis
MT214915.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Stereaceae,g__Stereum,s__Stereum_complicatum
MK782394.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_wieringae
MH880201.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_flaviporus
GU187536.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Tapinellaceae,g__Pseudomerulius,s__Pseudomerulius_curtisii
MK775473.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__Tomentella_brevisterigmata
KY174998.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Geesterania,s__Geesterania_davidii
MZ923792.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Hemileccinum,s__Hemileccinum_ferrugineipes
MW750241.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_neojaponicum
AB071803.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__Coprinopsis_echinospora
MW174800.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Physalacriaceae,g__Cryptomarasmius,s__Cryptomarasmius_aucubae
KR873250.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__Septoriella_oudemansii
KU821452.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_tenuissimum
AY450346.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pleurotaceae,g__Pleurotus,s__Pleurotus_populinus
KR476724.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Xenocamarosporium,s__Xenocamarosporium_acaciae
MW710688.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_carnescens
JF908003.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_platyphylloides
KU728502.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Dothideales,f__Dothioraceae,g__Dothiora,s__Dothiora_elliptica
MT373366.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__Myrmecridium_phragmiticola
KJ654427.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_steyaertanum
KJ707164.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,s__Sporobolomyces_roseus
KU052739.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Neoantrodia,s__Neoantrodia_flavimontis
KR909429.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_coeruleum
MH016878.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Lycoperdaceae,g__Lycoperdon,s__Lycoperdon_perlatum
KT203301.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meripilaceae,g__Rigidoporus,s__Rigidoporus_piceicola
JX968555.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Pyrofomes,s__Pyrofomes_demidoffii
MW031911.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mucorales,f__Rhizopodaceae,g__Rhizopus,s__Rhizopus_homothallicus
MN902070.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cantharellales,f__Hydnaceae,g__Bergerella,s__Bergerella_atrofusca
JN205994.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mucorales,f__Mucoraceae,g__Mucor,s__Mucor_atramentarius
OM100765.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Sistotrema,s__Sistotrema_coroniferum
KC848278.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Trametes,s__Trametes_conchifer
GQ479875.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Melampsoraceae,g__Melampsora,s__Melampsora_medusae
MH861814.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__unidentified,g__Baltazaria,s__Baltazaria_galactina
JQ673128.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Incrustoporia,s__Skeletocutis_chrysella
MN892627.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Ceriporia,s__Ceriporia_spissa
AY364838.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,s__Sporobolomyces_jilinensis
FJ411097.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_ochroleuca
MH656752.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Ascochyta,s__Ascochyta_herbicola
MW732417.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Phlebia,s__Phlebia_acerina
MT280611.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mucorales,f__Mucoraceae,g__Actinomucor,s__Actinomucor_elegans
JQ044439.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,s__Leptosphaeria_proteicola
MT247006.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Peniophorella,s__Peniophorella_rude
MT102879.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Waitea,s__Waitea_circinata
MW244022.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__Coprinellus_magnoliae
GU237762.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Paraboeremia,s__Paraboeremia_selaginellae
KC992941.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Candolleomyces,s__Candolleomyces_efflorescens
FN600376.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Hyphodermella,s__Hyphodermella_corrugata
KP994359.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Phanerochaete,s__Phanerochaete_cumulodentata
DQ218310.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__unidentified,g__Resinicium,s__Resinicium_bicolor
JF740221.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,s__Leptosphaeria_etheridgei
DQ873648.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__unidentified,g__Resinicium,s__Resinicium_furfuraceum
MG137082.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Cyanosporus,s__Cyanosporus_livens
MK119821.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Foraminispora,s__Foraminispora_yinggelingensis
HQ435870.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Trametes,s__Trametes_pubescens
EU118665.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Scopuloides,s__Scopuloides_hydnoides
LT220863.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Stephanosporaceae,g__Myriococcum,s__Myriococcum_praecox
U34580.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_concolor
KY984324.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Massarinaceae,g__Helminthosporium,s__Helminthosporium_microsorum
MK394004.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_variabilis
MT235660.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Phanerochaete,s__Phanerochaete_carnosa
JX134278.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Funalia,s__Funalia_rigida
DQ825985.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_serrae
MT002320.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Trechisporales,f__unidentified,g__Sertulicium,s__Sertulicium_jacksonii
